Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
p136C_R1_kneaddata_paired_1	0.0	36.0	98.2386464826358	10.0	1123.0
p136C_R1_kneaddata_paired_2	0.0	37.0	98.21621621621621	0.0	1073.0
p136N_R1_kneaddata_paired_1	0.2113821138211307	41.0	97.26243902439025	0.0	6150.0
p136N_R1_kneaddata_paired_2	0.21146119687037412	41.0	97.29921759357158	0.0	4729.0
p143C_R1_kneaddata_paired_1	2.6734681334890382	46.0	95.48743162682072	10.0	16271.0
p143C_R1_kneaddata_paired_2	1.130911583276216	52.0	94.5	10.0	5836.0
p143N_R1_kneaddata_paired_1	0.5506236655804031	44.0	95.45948983031802	0.0	8899.0
p143N_R1_kneaddata_paired_2	0.19189765458420993	47.0	95.06140724946695	10.0	4690.0
p144C_R1_kneaddata_paired_1	5.136631702156393	37.0	96.76036555170396	10.0	22213.0
p144C_R1_kneaddata_paired_2	0.5758807588075854	41.0	96.02811653116531	0.0	5904.0
p144N_R1_kneaddata_paired_1	0.0	42.0	97.24798643493006	0.0	2359.0
p144N_R1_kneaddata_paired_2	0.13895321908290725	43.0	97.55071792496526	0.0	2159.0
p146C_R1_kneaddata_paired_1	0.06923609508423567	42.0	97.26586660512348	0.0	8666.0
p146C_R1_kneaddata_paired_2	0.1106194690265454	42.0	97.09450063211125	0.0	6328.0
p146N_R1_kneaddata_paired_1	0.0	41.0	98.5363589479113	0.0	1939.0
p146N_R1_kneaddata_paired_2	0.0	42.0	98.28923766816143	0.0	1784.0
p153C_R1_kneaddata_paired_1	0.6611570247933969	36.0	97.00495867768595	0.0	605.0
p153C_R1_kneaddata_paired_2	0.1706484641638184	37.0	98.56996587030717	0.0	586.0
p153N_R1_kneaddata_paired_1	0.0	45.0	96.6924219910847	10.0	673.0
p153N_R1_kneaddata_paired_2	0.0	46.0	96.90262751159196	10.0	647.0
p156C_R1_kneaddata_paired_1	0.0	41.0	97.11602209944752	10.0	181.0
p156C_R1_kneaddata_paired_2	0.0	39.0	96.6145251396648	10.0	179.0
p156N_R1_kneaddata_paired_1	0.0	43.0	97.56876061120543	10.0	589.0
p156N_R1_kneaddata_paired_2	0.0	43.0	98.31833910034602	0.0	578.0
