Module	Section	Sample Name	Source
FastQC	all_sections	p156N_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p156N_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p156N_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p156N_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p156C_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p156C_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p156C_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p156C_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p153N_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p153N_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p153N_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p153N_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p153C_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p153C_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p153C_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p153C_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p146N_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p146N_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p146N_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p146N_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p146C_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p146C_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p146C_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p146C_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p144N_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p144N_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p144N_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p144N_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p144C_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p144C_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p144C_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p144C_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p143N_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p143N_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p143N_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p143N_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p143C_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p143C_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p143C_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p143C_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p136N_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p136N_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p136N_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p136N_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	p136C_R1_kneaddata_paired_2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p136C_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	p136C_R1_kneaddata_paired_1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/post-trim/p136C_R1_kneaddata_paired_1_fastqc.zip
