Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
p136C_R1	0.10533333333333417	37.0	101.0	0.0	75000.0
p136C_R2	0.18666666666666742	37.0	101.0	0.0	75000.0
p136N_R1	1.5586666666666673	40.0	101.0	0.0	75000.0
p136N_R2	3.352000000000004	40.0	101.0	10.0	75000.0
p143C_R1	10.317333333333337	46.0	101.0	40.0	75000.0
p143C_R2	4.598666666666659	45.0	101.0	30.0	75000.0
p143N_R1	2.4906666666666695	44.0	101.0	10.0	75000.0
p143N_R2	9.546666666666667	44.0	101.0	40.0	75000.0
p144C_R1	6.082666666666668	38.0	101.0	10.0	75000.0
p144C_R2	12.813333333333333	38.0	101.0	40.0	75000.0
p144N_R1	0.519999999999996	42.0	101.0	0.0	75000.0
p144N_R2	0.5919999999999987	42.0	101.0	0.0	75000.0
p146C_R1	0.5826666666666682	43.0	101.0	0.0	75000.0
p146C_R2	1.6586666666666616	43.0	101.0	0.0	75000.0
p146N_R1	0.36266666666666936	41.0	101.0	0.0	75000.0
p146N_R2	0.3640000000000043	41.0	101.0	0.0	75000.0
p153C_R1	0.31733333333333746	37.0	101.0	0.0	75000.0
p153C_R2	2.450666666666663	37.0	101.0	10.0	75000.0
p153N_R1	0.14800000000001035	45.0	101.0	10.0	75000.0
p153N_R2	0.18533333333333246	45.0	101.0	10.0	75000.0
p156C_R1	0.214666666666659	40.0	101.0	0.0	75000.0
p156C_R2	0.20533333333332848	40.0	101.0	0.0	75000.0
p156N_R1	0.046666666666666856	44.0	101.0	0.0	75000.0
p156N_R2	0.07466666666667265	44.0	101.0	0.0	75000.0
