Module	Section	Sample Name	Source
FastQC	all_sections	p156N_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p156N_R2_fastqc.zip
FastQC	all_sections	p156N_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p156N_R1_fastqc.zip
FastQC	all_sections	p156C_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p156C_R2_fastqc.zip
FastQC	all_sections	p156C_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p156C_R1_fastqc.zip
FastQC	all_sections	p153N_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p153N_R2_fastqc.zip
FastQC	all_sections	p153N_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p153N_R1_fastqc.zip
FastQC	all_sections	p153C_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p153C_R2_fastqc.zip
FastQC	all_sections	p153C_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p153C_R1_fastqc.zip
FastQC	all_sections	p146N_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p146N_R2_fastqc.zip
FastQC	all_sections	p146N_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p146N_R1_fastqc.zip
FastQC	all_sections	p146C_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p146C_R2_fastqc.zip
FastQC	all_sections	p146C_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p146C_R1_fastqc.zip
FastQC	all_sections	p144N_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p144N_R2_fastqc.zip
FastQC	all_sections	p144N_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p144N_R1_fastqc.zip
FastQC	all_sections	p144C_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p144C_R2_fastqc.zip
FastQC	all_sections	p144C_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p144C_R1_fastqc.zip
FastQC	all_sections	p143N_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p143N_R2_fastqc.zip
FastQC	all_sections	p143N_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p143N_R1_fastqc.zip
FastQC	all_sections	p143C_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p143C_R2_fastqc.zip
FastQC	all_sections	p143C_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p143C_R1_fastqc.zip
FastQC	all_sections	p136N_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p136N_R2_fastqc.zip
FastQC	all_sections	p136N_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p136N_R1_fastqc.zip
FastQC	all_sections	p136C_R2	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p136C_R2_fastqc.zip
FastQC	all_sections	p136C_R1	/student/petertran/src/bioinformatics-2/homework/metagenomics/reports/qc/pre-trim/p136C_R1_fastqc.zip
